date,total_deposits_t,weighted_retention_rate,cohort,total_deposits,week_1_retention,week_2_retention,week_3_retention,week_4_retention,week_5_retention,week_6_retention,week_7_retention,week_8_retention,week_9_retention,week_10_retention,week_11_retention,week_12_retention
October 13 2025,1.7018707793568443e+06,0.5099742219484988,2025-10-13 00:00:00.000 UTC,1.7018707793568443e+06,0.5099742219484988,0,0,0,0,0,0,0,0,0,0,0
October 06 2025,781793.2629694813,0.8146053055745756,2025-10-06 00:00:00.000 UTC,781793.2629694813,0.8623366222172266,0.79073964725325,0,0,0,0,0,0,0,0,0,0
September 29 2025,5.461373536483165e+06,0.8915000563055404,2025-09-29 00:00:00.000 UTC,5.461373536483165e+06,0.9492758509088703,0.8963694371562777,0.8689952042039387,0,0,0,0,0,0,0,0,0
September 22 2025,3.758895246485721e+06,0.5587020703037616,2025-09-22 00:00:00.000 UTC,3.758895246485721e+06,0.8621758962077023,0.6838759012998757,0.5010812661172274,0.46346230146962014,0,0,0,0,0,0,0,0
September 15 2025,1.6646449827518957e+06,0.738117978066192,2025-09-15 00:00:00.000 UTC,1.6646449827518957e+06,0.9052009443687032,0.7752115995354542,0.7513897939930093,0.7159121991301922,0.6996654698106942,0,0,0,0,0,0,0
September 08 2025,9.760056195495678e+06,0.8045303539844433,2025-09-08 00:00:00.000 UTC,9.760056195495678e+06,0.9275458398478478,0.8311085360333678,0.8610399197279168,0.821582432722177,0.7770340729297806,0.7584591111728941,0,0,0,0,0,0
September 01 2025,3.487042607773361e+06,0.5010218190212782,2025-09-01 00:00:00.000 UTC,3.487042607773361e+06,0.6250798276360136,0.5807646904814499,0.5636408227555664,0.5317577581387769,0.49456394288786537,0.4650764336733143,0.4515385580994082,0,0,0,0,0
August 25 2025,3.3646072790260753e+06,0.6834530700238474,2025-08-25 00:00:00.000 UTC,3.3646072790260753e+06,0.928166414929276,0.8888927747069288,0.8557841053743368,0.7950483561684876,0.8355418870136164,0.7796185600860175,0.4953184125526688,0.47852039153319237,0,0,0,0
August 18 2025,4.159798604101092e+06,0.5358317373986616,2025-08-18 00:00:00.000 UTC,4.159798604101092e+06,0.967669974078764,0.7147802317145927,0.6970409906089715,0.5558874090034621,0.5228352422091427,0.5264471163347676,0.49440050560946924,0.48532736602095655,0.476027084566978,0,0,0
August 11 2025,2.0071964874774363e+07,0.836474519278147,2025-08-11 00:00:00.000 UTC,2.0071964874774363e+07,0.8947842814226492,0.8778518469480018,0.8090264422180866,0.8213940072582195,0.8257544072514682,0.8859729995604645,0.8753331054477035,0.8205567364767928,0.8128257064107446,0.8191128208027194,0,0
