date,total_wallets_per_cohort_t,weighted_retention_rate,cohort,total_wallets_per_cohort,month_1_retention,month_2_retention,month_3_retention,month_4_retention,month_5_retention,month_6_retention,month_7_retention,month_8_retention,month_9_retention,month_10_retention,month_11_retention,month_12_retention
October 13 2025,565,0,2025-10-13 00:00:00.000 UTC,565,0,0,0,0,0,0,0,0,0,0,0,0
October 06 2025,769,0.929778933680104,2025-10-06 00:00:00.000 UTC,769,0.929778933680104,0,0,0,0,0,0,0,0,0,0,0
September 29 2025,695,0.8498800959232614,2025-09-29 00:00:00.000 UTC,695,0.9064748201438849,0.8215827338129497,0,0,0,0,0,0,0,0,0,0
September 22 2025,990,0.8816498316498317,2025-09-22 00:00:00.000 UTC,990,0.9515151515151515,0.8949494949494949,0.8494949494949495,0,0,0,0,0,0,0,0,0
September 15 2025,518,0.7347490347490347,2025-09-15 00:00:00.000 UTC,518,0.8436293436293436,0.7915057915057915,0.7393822393822393,0.6756756756756757,0,0,0,0,0,0,0,0
September 08 2025,454,0.7080763582966227,2025-09-08 00:00:00.000 UTC,454,0.8458149779735683,0.7422907488986784,0.7312775330396476,0.698237885462555,0.6607929515418502,0,0,0,0,0,0,0
September 01 2025,428,0.6300623052959502,2025-09-01 00:00:00.000 UTC,428,0.8434579439252337,0.7289719626168224,0.6542056074766355,0.6378504672897196,0.6074766355140186,0.5630841121495327,0,0,0,0,0,0
August 25 2025,555,0.5765765765765766,2025-08-25 00:00:00.000 UTC,555,0.8108108108108109,0.7189189189189189,0.6414414414414414,0.5783783783783784,0.5585585585585585,0.5387387387387388,0.518918918918919,0,0,0,0,0
August 18 2025,575,0.5745893719806764,2025-08-18 00:00:00.000 UTC,575,0.8486956521739131,0.7530434782608696,0.6939130434782609,0.6104347826086957,0.5791304347826087,0.5443478260869565,0.5217391304347826,0.4991304347826087,0,0,0,0
August 11 2025,1295,0.4632689832689833,2025-08-11 00:00:00.000 UTC,1295,0.7791505791505792,0.7474903474903475,0.6131274131274131,0.661003861003861,0.6162162162162163,0.4023166023166023,0.42934362934362935,0.3806949806949807,0.28262548262548265,0,0,0
August 04 2025,1485,0.39700030609121517,2025-08-04 00:00:00.000 UTC,1485,0.9292929292929293,0.8740740740740741,0.7265993265993266,0.5811447811447812,0.432996632996633,0.3696969696969697,0.32727272727272727,0.2936026936026936,0.28215488215488216,0.3090909090909091,0,0
July 28 2025,512,0.5812322443181818,2025-07-28 00:00:00.000 UTC,512,0.908203125,0.787109375,0.7578125,0.73046875,0.681640625,0.638671875,0.5703125,0.548828125,0.513671875,0.498046875,0.49609375,0
July 21 2025,734,0.558181373576469,2025-07-21 00:00:00.000 UTC,734,0.8501362397820164,0.7997275204359673,0.7534059945504087,0.7002724795640327,0.6689373297002725,0.6321525885558583,0.6008174386920981,0.5435967302452316,0.5163487738419619,0.48501362397820164,0.47547683923705725,0.4673024523160763
July 14 2025,879,0.5164085061695983,2025-07-14 00:00:00.000 UTC,879,0.9374288964732651,0.8373151308304891,0.7281001137656428,0.6825938566552902,0.6291240045506257,0.6052332195676906,0.5517633674630261,0.5176336746302617,0.48236632536973834,0.4641638225255973,0.40273037542662116,0.3799772468714448
July 07 2025,544,0.48920625942684776,2025-07-07 00:00:00.000 UTC,544,0.8731617647058824,0.7702205882352942,0.7261029411764706,0.6378676470588235,0.5863970588235294,0.5220588235294118,0.5036764705882353,0.4889705882352941,0.4834558823529412,0.42830882352941174,0.40808823529411764,0.36580882352941174
June 30 2025,581,0.5421245421245422,2025-06-30 00:00:00.000 UTC,581,0.9070567986230637,0.8055077452667814,0.7401032702237521,0.6764199655765921,0.6402753872633391,0.6230636833046471,0.5662650602409639,0.540447504302926,0.5094664371772806,0.48709122203098104,0.4578313253012048,0.4268502581755594
June 23 2025,424,0.6321964199322689,2025-06-23 00:00:00.000 UTC,424,0.8891509433962265,0.8443396226415094,0.7830188679245284,0.7193396226415094,0.6792452830188679,0.6580188679245284,0.6344339622641509,0.6202830188679245,0.6132075471698113,0.6014150943396226,0.5849056603773585,0.5660377358490566
June 16 2025,358,0.5780690445494916,2025-06-16 00:00:00.000 UTC,358,0.888268156424581,0.8100558659217877,0.7793296089385475,0.6871508379888268,0.6424581005586593,0.6005586592178771,0.6033519553072626,0.5614525139664804,0.547486033519553,0.5391061452513967,0.5223463687150838,0.49162011173184356
June 09 2025,397,0.6547180778918814,2025-06-09 00:00:00.000 UTC,397,0.853904282115869,0.7758186397984886,0.743073047858942,0.7632241813602015,0.7153652392947103,0.6851385390428212,0.6649874055415617,0.6523929471032746,0.6322418136020151,0.6322418136020151,0.6120906801007556,0.5894206549118388
June 02 2025,608,0.6282473009446693,2025-06-02 00:00:00.000 UTC,608,0.8832236842105263,0.8125,0.7648026315789473,0.7450657894736842,0.7417763157894737,0.7384868421052632,0.71875,0.6036184210526315,0.5740131578947368,0.569078947368421,0.5444078947368421,0.53125
May 26 2025,387,0.5544623335321011,2025-05-26 00:00:00.000 UTC,387,0.8036175710594315,0.7028423772609819,0.661498708010336,0.6175710594315246,0.6124031007751938,0.6098191214470284,0.6046511627906976,0.5710594315245479,0.524547803617571,0.5116279069767442,0.49612403100775193,0.4806201550387597
May 19 2025,433,0.61165393497957,2025-05-19 00:00:00.000 UTC,433,0.8960739030023095,0.8314087759815243,0.7736720554272517,0.7297921478060047,0.6859122401847575,0.6651270207852193,0.6535796766743649,0.6327944572748267,0.6189376443418014,0.5773672055427251,0.5750577367205543,0.43187066974595845
