date,total_deposits_t,weighted_retention_rate,cohort,total_deposits,week_1_retention,week_2_retention,week_3_retention,week_4_retention,week_5_retention,week_6_retention,week_7_retention,week_8_retention,week_9_retention,week_10_retention,week_11_retention,week_12_retention
October 13 2025,1.7587018738477236e+08,0.9839861408151179,2025-10-13 00:00:00.000 UTC,1.7587018738477236e+08,0.9839861408151179,0,0,0,0,0,0,0,0,0,0,0
October 06 2025,7.227266917382991e+07,0.9152639319630795,2025-10-06 00:00:00.000 UTC,7.227266917382991e+07,0.925080022317486,0.9103558867858762,0,0,0,0,0,0,0,0,0,0
September 29 2025,1.5581785582396907e+08,0.6307605140265723,2025-09-29 00:00:00.000 UTC,1.5581785582396907e+08,0.7873492958510084,0.6999560816025865,0.5324338750344175,0,0,0,0,0,0,0,0,0
September 22 2025,2.819523516006762e+08,0.40009360681696454,2025-09-22 00:00:00.000 UTC,2.819523516006762e+08,0.971311479809367,0.7912565826435842,0.20921097938275968,0.20486962123120775,0,0,0,0,0,0,0,0
September 15 2025,2.2617065856500608e+08,0.8668880413025375,2025-09-15 00:00:00.000 UTC,2.2617065856500608e+08,0.8968434878274092,0.9491644537801702,0.9164973536141946,0.855536518069799,0.8073020182057062,0,0,0,0,0,0,0
September 08 2025,4.865851918943388e+08,0.5575393074791541,2025-09-08 00:00:00.000 UTC,4.865851918943388e+08,0.9926887259328666,0.5335588057214385,0.5741663898123301,0.5607825230828546,0.522675255275897,0.5115855969230999,0,0,0,0,0,0
September 01 2025,1.8768403032077346e+07,0.5318313769213406,2025-09-01 00:00:00.000 UTC,1.8768403032077346e+07,0.8836536959919643,0.8321397649567789,0.5780697798689801,0.5374377647823007,0.5128508512820595,0.49839322694976546,0.41496733014956905,0,0,0,0,0
August 25 2025,2.6316738374570876e+07,0.47851591745615274,2025-08-25 00:00:00.000 UTC,2.6316738374570876e+07,0.9035090806059887,0.7146817939696292,0.6319257671691615,0.5171364113284191,0.47339495149085226,0.44376299000778624,0.4153731819148644,0.3740265552687573,0,0,0,0
August 18 2025,1.6403595668648189e+07,0.6598253979518821,2025-08-18 00:00:00.000 UTC,1.6403595668648189e+07,0.9125621313956686,0.7918062305753746,0.7787620448529534,0.7389583635701347,0.6464602970465655,0.6709161762205789,0.6481180223495459,0.6032251938216179,0.5870469418747568,0,0,0
August 11 2025,3.727224612066433e+07,0.5939134072497437,2025-08-11 00:00:00.000 UTC,3.727224612066433e+07,0.7976550869598067,0.7810683407715068,0.7547952507007812,0.6977900814864954,0.6756971499284109,0.6262805983619755,0.6237506539404192,0.6021158736390892,0.4625619818383338,0.4767490809130196,0,0
August 04 2025,1.5598738763660535e+08,0.7211262295048531,2025-08-04 00:00:00.000 UTC,1.5598738763660535e+08,0.9347493330081544,0.8764172049181976,0.9298166254710989,0.8569154480111096,0.8266809321049624,0.7465905030348022,0.7391132984080149,0.6642177570754934,0.6635547000469191,0.6531926519025906,0.6441121902160151,0
July 28 2025,1.572332117157409e+08,0.9154515843450727,2025-07-28 00:00:00.000 UTC,1.572332117157409e+08,0.9687863625704214,0.964896415511633,0.9532820869138964,0.9533915260313138,0.9485258193323769,0.9395458134983184,0.9380028265642909,0.9133213329784766,0.9016740460209699,0.8999436488726814,0.891218930549972,0.8885688711716796
July 21 2025,9.431641992950344e+08,0.8434907278509445,2025-07-21 00:00:00.000 UTC,9.431641992950344e+08,0.9485104781799041,0.8594677543281093,0.8587948716085417,0.85865480621472,0.8516633143691376,0.8421643055940737,0.8415060710950499,0.8411358747258667,0.8392390359838688,0.8382676231457052,0.8377102278129378,0.8360212486430355
July 14 2025,6.118909724247155e+08,0.5027930378284277,2025-07-14 00:00:00.000 UTC,6.118909724247155e+08,0.9757096875120496,0.8738759862106941,0.9005584956328452,0.8598284835054425,0.7748753829487787,0.7466093689208999,0.7130755750672451,0.47295907283628935,0.33748919187895987,0.29556707141029676,0.3160347277038385,0.3128929739647891
July 07 2025,1.71247421292403e+08,0.2727220449825461,2025-07-07 00:00:00.000 UTC,1.71247421292403e+08,0.9922401944253787,0.27853975190355,0.1958120130658882,0.2169044611032127,0.2769779945379823,0.27546595001302543,0.2738204586420424,0.26734282489304073,0.27165069682814746,0.2723477293640487,0.26044561279536077,0.2617949282121778
June 30 2025,3.092071454990749e+07,0.4726949086428252,2025-06-30 00:00:00.000 UTC,3.092071454990749e+07,0.8387288260054463,0.7808178923376551,0.709600273279296,0.5707382518198689,0.5020143229154976,0.42758685294286464,0.4276940639957608,0.45044279113157026,0.45774944380945465,0.4486853118467562,0.4269173862613533,0.4235334637880957
June 23 2025,1.3188779786168844e+07,0.3932000149313972,2025-06-23 00:00:00.000 UTC,1.3188779786168844e+07,0.8276397738951482,0.6196515009886059,0.5989670502461661,0.37795799764183285,0.35917009713038006,0.40132720474168604,0.4080022319275205,0.37818965366592866,0.37720551498987187,0.3783858116979845,0.36627757899690827,0.33340146330783543
June 16 2025,2.738101849110861e+07,0.8464590072364427,2025-06-16 00:00:00.000 UTC,2.738101849110861e+07,0.9505813117203233,0.9460058769238573,0.9439827118419286,0.8814996108773059,0.8750086786350526,0.8569372671703542,0.855350999594399,0.855024847806414,0.8486340173153367,0.8485673324339296,0.800208617032087,0.7961054897083097
June 09 2025,2.849753811500826e+07,0.5841605103015696,2025-06-09 00:00:00.000 UTC,2.849753811500826e+07,0.8779019037436682,0.8759307252423999,0.8739445609875566,0.79014563720613,0.7677295351229356,0.5746897579711037,0.573981543405845,0.5750715941882103,0.5400135104498335,0.5158314149195957,0.5081315998618732,0.4699355912494837
