granularity_day,holder_class,addresses,token_balance_usd,active_address,balance_tracked,num_month,month_change,total_unique_holders
2025-06-02 00:00:00.000 UTC,First Time,595,9.445602221281298e+06,70216,62.93201484729107,40165,-3.370543232449598,315975
2025-05-26 00:00:00.000 UTC,Repeat,69791,4.43177623225888e+09,70256,67.00305583106517,40165,-3.370543232449598,315975
2025-05-26 00:00:00.000 UTC,First Time,465,1.4431713282638518e+07,70256,67.00305583106517,40165,-3.370543232449598,315975
2025-05-19 00:00:00.000 UTC,First Time,667,2.181509598213872e+07,70670,68.07341733359361,40165,-3.370543232449598,315975
2025-05-19 00:00:00.000 UTC,Repeat,70003,4.367554144267038e+09,70670,68.07341733359361,40165,-3.370543232449598,315975
2025-05-12 00:00:00.000 UTC,First Time,923,3.2614415910928316e+07,71267,68.60456710191283,40165,-3.370543232449598,315975
2025-05-12 00:00:00.000 UTC,Repeat,70344,4.257885950038565e+09,71267,68.60456710191283,40165,-3.370543232449598,315975
2025-05-05 00:00:00.000 UTC,First Time,517,3.704824983126028e+06,68535,71.72983061523935,40165,-3.370543232449598,315975
2025-05-05 00:00:00.000 UTC,Repeat,68018,3.2073094054982615e+09,68535,71.72983061523935,40165,-3.370543232449598,315975
2025-04-28 00:00:00.000 UTC,Repeat,68422,3.131448441613544e+09,68932,71.54978123951183,40165,-3.370543232449598,315975
2025-04-28 00:00:00.000 UTC,First Time,510,5.004741145438332e+06,68932,71.54978123951183,40165,-3.370543232449598,315975
2025-04-21 00:00:00.000 UTC,First Time,470,7.155522307819879e+06,68279,72.53113675212401,40165,-3.370543232449598,315975
2025-04-21 00:00:00.000 UTC,Repeat,67809,2.7623929513256087e+09,68279,72.53113675212401,40165,-3.370543232449598,315975
2025-04-14 00:00:00.000 UTC,First Time,447,8.788495625286888e+06,68928,72.60894348981917,40165,-3.370543232449598,315975
2025-04-14 00:00:00.000 UTC,Repeat,68481,2.817497373652426e+09,68928,72.60894348981917,40165,-3.370543232449598,315975
2025-04-07 00:00:00.000 UTC,First Time,354,2.3372487474690713e+07,69110,72.03399151686322,40165,-3.370543232449598,315975
2025-04-07 00:00:00.000 UTC,Repeat,68756,2.725159536127499e+09,69110,72.03399151686322,40165,-3.370543232449598,315975
2025-03-31 00:00:00.000 UTC,Repeat,70876,3.169425906806952e+09,71523,71.74545892358533,40165,-3.370543232449598,315975
2025-03-31 00:00:00.000 UTC,First Time,647,5.083468150725283e+07,71523,71.74545892358533,40165,-3.370543232449598,315975
2025-03-24 00:00:00.000 UTC,First Time,461,3.7132746204503216e+07,74545,71.59377624083754,40165,-3.370543232449598,315975
2025-03-24 00:00:00.000 UTC,Repeat,74084,3.5345648987676263e+09,74545,71.59377624083754,40165,-3.370543232449598,315975
2025-03-17 00:00:00.000 UTC,First Time,394,1.058228277740522e+08,73929,70.45029621059118,40165,-3.370543232449598,315975
2025-03-17 00:00:00.000 UTC,Repeat,73535,3.034630593412299e+09,73929,70.45029621059118,40165,-3.370543232449598,315975
2025-03-10 00:00:00.000 UTC,First Time,430,9.60162579411061e+06,75642,70.5502387848436,40165,-3.370543232449598,315975
2025-03-10 00:00:00.000 UTC,Repeat,75212,3.007797651774959e+09,75642,70.5502387848436,40165,-3.370543232449598,315975
2025-03-03 00:00:00.000 UTC,First Time,441,1.9988174848038148e+07,78387,72.38053707907471,40165,-3.370543232449598,315975
2025-03-03 00:00:00.000 UTC,Repeat,77946,3.4916285606730223e+09,78387,72.38053707907471,40165,-3.370543232449598,315975
