day,block_day,daily_apr,apr_padding_high,avg_7day_apr,avg_30day_apr,apr_padding_low,all_time_apr,oracle_rate,dex_rate,pad_high,nav_ratio,constant_one,pad_low,premium_or_discount,premium_or_discount_perc,premium_or_discount_bips,avg_7day_apr_cnt,avg_30day_apr_cnt,premium_or_discount_perc_cnt,buffer_eth,pending_withdrawals,cum_withdraw,cum_deposit,cum_netflow,withdraw,deposit,daily_netflow,withdrawers,depositors,first_time_deposits,repeat_deposits,first_time_depositors,repeat_depositors
2025-11-08 00:00:00.000 UTC,2025-11-08 00:00:00,0.028597394026529537,0.04,0.026092503990196612,0.02626718433849327,0.02,0,1.0809716428468001,1.0783498440039663,1.01,0.9975745905452902,1,0.95,-0.0026217988428338668,-0.0024254094547098487,-24.254094547098486,2.609250399019661,2.626718433849327,-0.24254094547098487,36855.94529565684,43608.19131412511,-3.8105695074719423e+06,6.472014576907159e+06,2.6614450694352123e+06,-18.83561463141374,6.308331296884962,-12.527283334528779,5,4,0.1635459101254993,6.144785386759462,2,2
2025-11-07 00:00:00.000 UTC,2025-11-07 00:00:00,0.024522702389529496,0.04,0.02603245703473791,0.026189856164323556,0.02,0,1.0809416952645077,1.0781427244186816,1.01,0.9974106181137354,1,0.95,-0.002798970845826032,-0.002589381886264569,-25.89381886264569,2.603245703473791,2.6189856164323557,-0.2589381886264569,36874.6014968016,43094.46870781041,-3.810550671857311e+06,6.472008268575862e+06,2.661457596718547e+06,-4158.4847159965975,2935.1391781173597,-1223.3455378792378,22,22,40.054126300933845,2895.0850518164257,10,12
2025-11-06 00:00:00.000 UTC,2025-11-06 00:00:00,0.027276951234103907,0.04,0.026013520973649323,0.026155287593284504,0.02,0,1.0808896306907356,1.07879721331263,1.01,0.9980641711061947,1,0.95,-0.0020924173781056155,-0.0019358288938052532,-19.35828893805253,2.6013520973649324,2.61552875932845,-0.1935828893805253,28371.469899029125,40159.582564189994,-3.806392187141314e+06,6.469073129397744e+06,2.662680942256426e+06,-7172.057284025974,54.93202104539233,-7117.125262980581,20,26,29.65729202287222,25.274729022520106,16,10
2025-11-05 00:00:00.000 UTC,2025-11-05 00:00:00,0.02806029007570157,0.04,0.02557107586820526,0.026181965792505743,0.02,0,1.080803599489574,1.0789274016400587,1.01,0.9982640714275921,1,0.95,-0.0018761978495152043,-0.0017359285724078523,-17.359285724078525,2.557107586820526,2.6181965792505744,-0.17359285724078524,34125.594302849124,42066.26740210071,-3.799220129857288e+06,6.469018197376699e+06,2.6697980675194063e+06,-2237.0336922324727,4975.043574186665,2738.009881954192,31,40,200.38290693860404,4774.660667248061,14,26
2025-11-04 00:00:00.000 UTC,2025-11-04 00:00:00,0.026042793154149552,0.04,0.025092940698260558,0.02604507746271808,0.02,0,1.080715058739543,1.079343360485183,1.01,0.9987307493836906,1,0.95,-0.0013716982543601208,-0.0012692506163094984,-12.692506163094986,2.5092940698260557,2.604507746271808,-0.12692506163094985,31503.41452743266,37388.157694010726,-3.796983096165056e+06,6.464043153802512e+06,2.667060057637452e+06,-30.001408679811973,800.045141751492,770.04373307168,16,43,78.67341085352193,721.37173089797,20,23
2025-11-03 00:00:00.000 UTC,2025-11-03 00:00:00,0.02566438388836444,0.04,0.024701885079453843,0.026094474782946613,0.02,0,1.080632750993964,1.0798256674501734,1.01,0.9992531379943388,1,0.95,-0.0008070835437905544,-0.0007468620056612207,-7.468620056612208,2.4701885079453842,2.6094474782946615,-0.07468620056612207,30986.837621878007,29661.579628689553,-3.796953094756376e+06,6.46324310866076e+06,2.6662900139043806e+06,-4925.161495720977,116.77508522397335,-4808.386410497003,18,24,45.91071581267546,70.8643694112979,8,16
2025-11-02 00:00:00.000 UTC,2025-11-02 00:00:00,0.022383391141368832,0.04,0.024644722553154048,0.02607054051940393,0.02,0,1.0805516452913286,1.0799283810718183,1.01,0.9994231981208614,1,0.95,-0.0006232642195103111,-0.0005768018791385693,-5.768018791385693,2.4644722553154046,2.607054051940393,-0.05768018791385693,35733.4822311737,24166.903613501272,-3.792027933260655e+06,6.4631263335755365e+06,2.6710984003148777e+06,-3567.7217401291628,52.34964730839569,-3515.372092820767,18,22,2.5311,49.81854730839569,9,13
2025-11-01 00:00:00.000 UTC,2025-11-01 00:00:00,0.026535354982366893,0.04,0.025033429077160125,0.026120324126302056,0.02,0,1.0805045261817965,1.0798769252659355,1.01,0.9994191593828128,1,0.95,-0.0006276009158610041,-0.0005808406171872059,-5.8084061718720585,2.5033429077160125,2.6120324126302057,-0.05808406171872059,39260.194700327556,24340.193050912392,-3.788460211520526e+06,6.463073983928228e+06,2.6746137724076984e+06,-7459.299748612773,1144.6518363623572,-6314.647912250416,26,23,55.23381469309301,1089.4180216692641,11,12
2025-10-31 00:00:00.000 UTC,2025-10-31 00:00:00,0.02489916820980945,0.04,0.02469853917069583,0.02604453502130857,0.02,0,1.080420732704067,1.0798886299532942,1.01,0.9995075041280992,1,0.95,-0.000532102750772756,-0.000492495871900768,-4.92495871900768,2.469853917069583,2.604453502130857,-0.0492495871900768,45649.24916927662,27255.246931754216,-3.7810009117719135e+06,6.461929332091865e+06,2.680928420319949e+06,-2221.273321634734,1096.7069563624,-1124.5663652723342,15,42,280.06051321000007,816.6464431523999,20,22
2025-10-30 00:00:00.000 UTC,2025-10-30 00:00:00,0.024323307943105988,0.04,0.024649381581665915,0.026044835218933384,0.02,0,1.0803413133748945,1.07991170431025,1.01,0.999602339502039,1,0.95,-0.00042960906464450943,-0.00039766049796100754,-3.9766049796100753,2.4649381581665915,2.6044835218933384,-0.03976604979610075,35603.94648479686,26975.996261508426,-3.778779638450279e+06,6.460832625135503e+06,2.682052986685221e+06,-2527.056648517724,547.8698418827224,-1979.1868066350016,18,32,21.54259970573602,526.3272421769864,13,19
2025-10-29 00:00:00.000 UTC,2025-10-29 00:00:00,0.02486560045661926,0.04,0.024694397578364183,0.02613318528759543,0.02,0,1.08026443623512,1.0798245358294243,1.01,0.999592784515587,1,0.95,-0.0004399004056956368,-0.0004072154844130149,-4.072154844130149,2.4694397578364184,2.613318528759543,-0.04072154844130149,37613.15468947748,27214.336272820965,-3.7762525818017614e+06,6.46028475529362e+06,2.684032173491856e+06,-428.12902884790446,264.01919873084626,-164.1098301170582,35,23,238.41248573967118,25.606712991175122,14,9
2025-10-28 00:00:00.000 UTC,2025-10-28 00:00:00,0.022804456598499362,0.04,0.024893200261626308,0.026130270092252328,0.02,0,1.0801859019217277,1.0795373600099591,1.01,0.9993996015772704,1,0.95,-0.000648541911768552,-0.0006003984227295966,-6.003984227295966,2.489320026162631,2.613027009225233,-0.06003984227295966,37799.53062161353,26879.85902054302,-3.7758244527729135e+06,6.460020736094889e+06,2.684196283321973e+06,-2836.387824850182,786.0638733374387,-2050.3239515127434,43,35,269.6447335858329,516.4191397516058,15,20
2025-10-27 00:00:00.000 UTC,2025-10-27 00:00:00,0.025313032376019194,0.04,0.025403714640115968,0.02621944328516274,0.02,0,1.080137875228735,1.0794712021646002,1.01,0.9993827889203556,1,0.95,-0.0006666730641347041,-0.0006172110796443707,-6.172110796443707,2.5403714640115966,2.621944328516274,-0.061721107964437076,40011.58133255767,26907.84778192364,-3.7729880649480633e+06,6.459234672221552e+06,2.6862466072734855e+06,-5250.721787896461,1433.0444134584936,-3817.6773744379675,129,24,175.32962516683648,1257.7147882916572,11,13
2025-10-26 00:00:00.000 UTC,2025-10-26 00:00:00,0.02571327308694274,0.04,0.025366965227095806,0.02626296535311469,0.02,0,1.080059216736186,1.07959680276235,1.01,0.9995718623880333,1,0.95,-0.0004624139738360622,-0.00042813761196670657,-4.281376119667065,2.5366965227095806,2.626296535311469,-0.04281376119667066,43851.41980585326,24636.375714081623,-3.767737343160167e+06,6.457801627808093e+06,2.6900642846479234e+06,-8625.217665429736,478.1396950286652,-8147.077970401071,47,18,5.116666616968189,473.023028411697,10,8
