timestamp,eth_price,market_cap,total_volume,amount_staked,earned_rewards,validators,marketshare,days_since_deposit,days_since_withdrawal,future_return,target_label
2025-05-14 00:00:00+00:00,2676.639163127913,322977150438.36176,32279895881.63781,126392.378023799,34703.089465789,3980.7618132437187,6.18665272687176e-05,1110.5087719298247,75.3157894736842,-0.027243520685371725,0
2025-05-15 00:00:00+00:00,2603.7180887199615,314022060127.0501,28150234190.931705,127864.378023799,34959.591343689004,4026.7618132437187,6.150244050933431e-05,1094.4310344827586,76.96551724137932,-0.023589879610722564,0
2025-05-16 00:00:00+00:00,2542.296692466797,306933361055.9317,26211434557.7159,127864.378023799,34959.591343689004,4026.7618132437187,6.150244050933431e-05,1094.4310344827586,76.96551724137932,0.0008222271078601739,1
2025-05-17 00:00:00+00:00,2544.3870377235667,307619694635.7725,21130441534.96637,127864.378023799,34959.591343689004,4026.7618132437187,6.150244050933431e-05,1094.4310344827586,76.96551724137932,-0.027249252305540095,0
2025-05-18 00:00:00+00:00,2475.0543933696913,298789831687.0011,17185510890.702347,127864.378023799,34959.591343689004,4026.7618132437187,6.150244050933431e-05,1094.4310344827586,76.96551724137932,-0.003924522944547593,0
2025-05-19 00:00:00+00:00,2465.3409856139087,296863390804.2497,24797434472.364086,127864.378023799,34959.591343689004,4026.7618132437187,6.150244050933431e-05,1094.4310344827586,76.96551724137932,0.02500613855736411,1
2025-05-20 00:00:00+00:00,2526.989643891319,305077067863.0779,25363871274.82505,127864.378023799,34959.591343689004,4026.7618132437187,6.150244050933431e-05,1094.4310344827586,76.96551724137932,-0.0010745198672563738,0
2025-05-21 00:00:00+00:00,2524.2743433146065,304737250158.37354,22871462735.416794,127864.378023799,34959.591343689004,4026.7618132437187,6.150244050933431e-05,1094.4310344827586,76.96551724137932,0.013736974015593484,1
2025-05-22 00:00:00+00:00,2558.9502343769486,308934701949.7151,32697477527.54695,127864.378023799,34959.591343689004,4026.7618132437187,6.150244050933431e-05,1094.4310344827586,76.96551724137932,0.038381836840831296,1
2025-05-23 00:00:00+00:00,2657.1674447566115,320733890913.39886,29592612076.505535,126392.378023799,34703.089465789,3980.7618132437187,6.18665272687176e-05,1110.5087719298247,75.3157894736842,-0.05169175016896532,0
2025-05-24 00:00:00+00:00,2519.813809045145,304038733414.03973,30047329191.503662,126392.378023799,34703.089465789,3980.7618132437187,6.18665272687176e-05,1110.5087719298247,75.3157894736842,0.003821383607283124,1
2025-05-25 00:00:00+00:00,2529.4429842284353,305369227833.4215,10744994421.192684,110392.378023799,33910.594747765004,3480.7618132437187,5.506183497140362e-05,1123.857142857143,73.64285714285714,0.006790875388676065,1
2025-05-26 00:00:00+00:00,2546.6201163370915,307423642894.0653,13814697849.726278,110392.378023799,33910.594747765004,3480.7618132437187,5.506183497140362e-05,1123.857142857143,73.64285714285714,0.006107236883254874,1
2025-05-27 00:00:00+00:00,2562.172928639224,309319360637.78375,13350148034.293625,110392.378023799,33910.594747765004,3480.7618132437187,5.506183497140362e-05,1123.857142857143,73.64285714285714,0.038998588685420055,1
2025-05-28 00:00:00+00:00,2662.0940568241435,321357595434.52185,26434151855.253853,110392.378023799,33910.594747765004,3480.7618132437187,5.506183497140362e-05,1123.857142857143,73.64285714285714,0.005324137811819174,1
